cell_id;z_alvo;altitude;n_est_cel;delta_representatividade_m
374_571;136.629;410.000;1;-273.371
379_514;1188.108;1244.000;1;-55.892
381_598;8.341;4.000;1;4.341
384_15;232.702;245.000;1;-12.298
385_425;934.797;951.000;1;-16.203
389_415;962.417;969.000;1;-6.583
392_568;46.799;38.000;3;8.799
400_544;155.109;164.000;1;-8.891
401_617;17.301;34.000;1;-16.699
402_142;418.229;426.000;1;-7.771
402_463;1042.701;1068.000;1;-25.299
406_598;35.007;40.000;1;-4.993
410_318;486.317;485.000;1;1.317
411_546;44.663;47.000;1;-2.337
414_559;25.211;24.000;1;1.211
415_496;1213.598;1228.000;1;-14.402
415_573;17.280;11.000;1;6.280
422_508;637.182;658.000;1;-20.818
424_536;48.461;47.000;1;1.461
428_253;644.718;660.000;1;-15.282
436_550;2.647;2.000;1;0.647
440_561;2.747;7.000;1;-4.253
441_524;36.748;40.000;1;-3.252
448_486;995.185;1017.000;1;-21.815
450_531;11.321;12.000;1;-0.679
457_388;834.593;830.000;1;4.593
461_351;539.622;623.000;1;-83.378
470_25;371.072;390.000;1;-18.928
482_526;7.922;8.000;1;-0.078
483_420;824.567;830.000;1;-5.433
50_581;920.833;922.000;1;-1.167
523_142;75.293;103.000;1;-27.707
540_270;96.136;106.000;1;-9.864
58_624;37.406;50.000;1;-12.594
59_513;842.605;838.000;1;4.605
62_394;1137.378;1208.000;1;-70.622
71_54;228.862;235.000;1;-6.138
78_193;514.975;528.000;1;-13.025
82_128;382.099;399.000;1;-16.901
92_467;782.624;780.000;1;2.624
